reaction,FC,p,q,enrichment,changed
DESAT18_8,50.84260453582542,1.3746584738471068e-12,1.5891441931707688e-12,1,1
DESAT18_9,39.05718121671006,1.8563677968613695e-09,2.086813454402781e-09,1,1
DESAT22_1p,10.652974162767563,9.503852238345747e-32,1.2177310953343622e-31,1,1
DESAT22_2p,17.239863799209136,2.928166742788413e-18,3.5058113887949415e-18,1,1
DESAT24_1,13.724013026564627,7.8580359170637845e-25,9.766905208463811e-25,1,1
DGNSK,13.217454438238637,5.835110804296636e-95,9.25989072003124e-95,1,1
DHAPtm,398.0504547981189,4.441088228134397e-06,4.794022391959647e-06,1,1
DHAPtr,-423.3983820318406,0.0,0.0,-1,1
DHCR241r,2.2045048211394525,0.0,0.0,1,1
DHCR242r,-1.0,0.0,0.0,-1,1
DHCR71r,29.701568859500963,0.0,0.0,1,1
DHCR72r,192.74643567991868,0.0,0.0,1,1
DHCRD1,7.394924768092027,6.977595468924532e-13,8.144692000043878e-13,1,1
DHCRD2,11.896591852943132,1.4521567744883152e-39,1.939041403968599e-39,1,1
DHFR,-855.6468342797847,2.2025638207223236e-116,3.734212956083464e-116,-1,1
DHFR2i,493.5021463921116,2.5766074972787e-26,3.243143027462765e-26,1,1
DHFRim,57.341298010729496,0.0,0.0,1,1
DHFtm,-63.06938102753167,9.6867846026964e-277,2.0524830513791255e-276,-1,1
DHPM1,309.7240703884155,4.0660830919911046e-47,5.644039912362348e-47,1,1
DKMPPD,13.501725788622185,0.0,0.0,1,1
DLNLCGt,-7.538760525398791,0.0,0.0,-1,1
DMATT,17.702570913320518,1.269310553972161e-61,1.8591570501697504e-61,1,1
DMATTx,5.981217227372591,1.8240952462376744e-32,2.3464404464004358e-32,1,1
DM_15HPET_r,-1.0,0.0,0.0,-1,1
DM_4abut_c,200.35523706135692,1.2731334052701707e-160,2.352461887308931e-160,1,1
DM_Asn_X_Ser_Thr_l,6.719197895898224,5.586512295364291e-156,1.0314256519434719e-155,1,1
DM_C02712_c,555.5474081844375,1.5008470151493183e-142,2.679916188240019e-142,1,1
DM_Lcystin_c,643.4258955741127,0.0,0.0,1,1
DM_Ser_Gly_Ala_X_Gly_l,25.69129910293293,1.5075361928992265e-258,3.1076762350461025e-258,1,1
DM_Ser_Thr_l,-1.0,0.0,0.0,-1,1
DM_ca24g_c,-1.0,0.0,0.0,-1,1
DM_ca3s_c,162.49527247191926,0.0,0.0,1,1
DM_core5_g,-1.0,0.0,0.0,-1,1
DM_core7_g,-1.0,0.0,0.0,-1,1
